group,id,time,y
ch,1,0,17.7
ch,1,30,11.44
ch,1,60,12.68
ch,1,90,14.64
ch,1,120,16.78
ch,2,0,17.22
ch,2,30,13.28
ch,2,60,14.74
ch,2,90,17.34
ch,2,120,17.64
ch,3,0,14.24
ch,3,30,9.62
ch,3,60,9.6
ch,3,90,11.2
ch,3,120,13.98
ch,4,0,39.58
ch,4,30,29.8
ch,4,60,34.45
ch,4,90,38.65
ch,4,120,39.36
ch,5,0,13.33
ch,5,30,7.94
ch,5,60,9.28
ch,5,90,10.95
ch,5,120,12.35
ch,6,0,16.16
ch,6,30,9.8
ch,6,60,10.7
ch,6,90,12.6
ch,6,120,14.78
cl,1,0,16.35
cl,1,30,13.58
cl,1,60,15.58
cl,1,90,16.1
cl,1,120,16.25
cl,2,0,15.65
cl,2,30,12.76
cl,2,60,13.54
cl,2,90,15.16
cl,2,120,13.4
cl,3,0,12.68
cl,3,30,10.98
cl,3,60,12.02
cl,3,90,12.25
cl,3,120,12.54
cl,4,0,21.88
cl,4,30,17.04
cl,4,60,19.26
cl,4,90,21.03
cl,4,120,22.65
cl,5,0,12.78
cl,5,30,9.54
cl,5,60,9.94
cl,5,90,11.5
cl,5,120,12.08
cl,6,0,15.58
cl,6,30,12.06
cl,6,60,13
cl,6,90,13.18
cl,6,120,13.85
co,1,0,20.75
co,1,30,18.84
co,1,60,19.75
co,1,90,19.13
co,1,120,19.43
co,2,0,13.88
co,2,30,13.16
co,2,60,13.86
co,2,90,14.1
co,2,120,13.42
co,3,0,11.92
co,3,30,10.9
co,3,60,11.98
co,3,90,11.48
co,3,120,12.03
co,4,0,26.38
co,4,30,27.73
co,4,60,27.54
co,4,90,27.58
co,4,120,28.83
co,5,0,13.3
co,5,30,13.43
co,5,60,13.28
co,5,90,12.98
co,5,120,13.08
co,6,0,13.8
co,6,30,13.76
co,6,60,13.86
co,6,90,13.82
co,6,120,13.7
